Primary Key,Program,Community,Services Requested,Client Status,HH Work Compliance Status,Member Work Compliance Status
t1214068H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1214068H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232494H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232494H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232515H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232515H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1232517H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232517H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232517H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232517H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232525H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232525H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1232218H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232218H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232218H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232218H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232218H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232536H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232536H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232536H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1218965H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232717H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232717H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232719H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232719H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232726H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232726H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232687H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1232510H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232510H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232510H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232514H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232514H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232528H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232528H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232605H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232605H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232605H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232605H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232605H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232651H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232651H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232651H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232651H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232651H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232161M26841,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1232161M26841,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232161M26841,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1208396H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1213787H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1213787H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1204232H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1204232H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1225942H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1225942H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1225942H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1225942H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1227884H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1227884H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1227884H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1218942H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1218942H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1216325H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1216325H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1200131M45645,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1200131M45645,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1224764H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1224764H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1224764H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232458H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232458H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232458H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1229686H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1206400H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1222136H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232523M59828,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232523M59828,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232177H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1232177H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1201969M24853,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1201969M24853,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1200335H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1200335H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1208809H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1208809H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1208809H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1208809H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232209H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232209H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232369H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232369H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232429H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232429H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232429H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232436H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232436H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1227071H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1227071H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232457H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232457H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Exempt
t1204432H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1204432H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232751H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232759H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1232765H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232765H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232765H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232765H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232766H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232766H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232766H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232766H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232766H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232766H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232768H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232681H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232791H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232794H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1232820H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232820H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1208463M28783,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232540H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232540H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232540H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232540H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232604H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232604H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232654H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232654H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232699H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232699H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232699H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232702H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232702H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232707H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232712H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232712H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232664H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232675H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232675H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232675H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232688H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232688H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232687H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232780H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232781H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232781H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1222706H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1222706H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1222706H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1224587H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232702M25677,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1203592H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1228109H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1228109H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232846H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- unable to contact client,Compliant Period,Compliant
t1232846H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1232846H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1232679H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1214971H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232673M23897,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232673M23897,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232673M23897,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232602H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232602H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1232602H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1229381H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232661H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232696H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232696H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232674H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232676H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232727H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232727H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232731H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232731H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232745H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232745H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232755H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232755H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232755H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232755H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232690M22207,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232688H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232723M25253,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232723M25253,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232750H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232753H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232762H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232762H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232690H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232690H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232777H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232777H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232777H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232777H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232678H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232795H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232795H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232795H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1232807M46435,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1204441M23240,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1204441M23240,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1204441M23240,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1204441M23240,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232769H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232769H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232770H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1232783H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232783H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232783H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232797H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1206701H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1225553H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232758M30313,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232842H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232849H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232849H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1232849H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1232853H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1232853H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1205811M25926,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1202242H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1207679H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1207679H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1206030H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1218942H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1213298H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1213298H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1213298H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1213298H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1202294H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1202294H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1202294H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1208030M35068,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
